,ChanIndx,CoarseChanNum,DEC,DriftRate,FileID,Freq,FreqEnd,FreqStart,FullNumHitsInRange,Hit_ID,MJD,ON_in_range,RA,RFI_in_range,SNR,Source,TopHitNum,delta_t,filename_fil,obs_run,status
11,811995.0,86.0,21d06m12.24s,-0.630594,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.720382,1380.721193,1380.719565,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,77.376299,HIP39826,282.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
12,813054.0,86.0,21d06m12.24s,-0.650301,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.723385,1380.724196,1380.722568,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,93.184549,HIP39826,283.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
13,813551.0,86.0,21d06m12.24s,-0.532064,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.724794,1380.725605,1380.723977,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,76.306665,HIP39826,284.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
14,814112.0,86.0,21d06m12.24s,-0.650301,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.726385,1380.727196,1380.725568,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,126.878287,HIP39826,285.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
15,814609.0,86.0,21d06m12.24s,-0.532064,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.727794,1380.728605,1380.726977,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,127.535075,HIP39826,286.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
16,814961.0,86.0,21d06m12.24s,-0.512358,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.728792,1380.729603,1380.727975,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,38.507854,HIP39826,287.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
17,815517.0,86.0,21d06m12.24s,-0.541917,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.730369,1380.73118,1380.729552,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,112.991977,HIP39826,288.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
18,816226.0,86.0,21d06m12.24s,-0.601035,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.732379,1380.73319,1380.731562,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,40.147021,HIP39826,289.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
19,817285.0,86.0,21d06m12.24s,-0.630594,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.735382,1380.736193,1380.734565,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,116.620438,HIP39826,290.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
20,817633.0,86.0,21d06m12.24s,-0.541917,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.736368,1380.737179,1380.735552,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,169.149839,HIP39826,291.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
